                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.86863,                 5.7878,                      0,                 0.5643,                  1.168,                0.88175,                0.99438,                0.97859,                0.72766,                0.31743,                0.36667,                0.17772,                0.03084,                0.91839,                  5.105,                      0,                0.54607,                 1.2445,              0.0010496,              0.0010496,              0.0010496
                     50,                0.88688,                 5.6747,                      0,                0.58949,                 1.1439,                 0.9357,                0.97022,                0.99212,                0.69795,                0.25311,                0.26667,                0.10546,                 0.0131,                 1.0227,                 5.4276,                      0,                0.54914,                 1.3843,              0.0010298,              0.0010298,              0.0010298
                     51,                0.88397,                 5.4413,                      0,                0.60194,                  1.116,                0.98829,                      1,                  0.995,                0.64024,                0.47344,                0.43333,                0.23986,                0.04286,                 1.0392,                 4.9142,                      0,                0.56286,                  1.393,                0.00101,                0.00101,                0.00101
                     52,                0.78343,                    5.5,                      0,                0.55699,                 1.0551,                  0.937,                0.99175,                0.99079,                0.67494,                 0.5699,                0.53333,                0.42293,                0.07136,                0.95871,                 4.8997,                      0,                0.55197,                 1.2156,              0.0009902,              0.0009902,              0.0009902
                     53,                0.98275,                 5.8835,                      0,                0.72281,                 1.2269,                0.96748,                      1,                0.99403,                0.76985,                0.82751,                 0.7996,                0.73819,                0.13432,                 0.8232,                 4.6052,                      0,                0.48199,                 1.1549,              0.0009704,              0.0009704,              0.0009704
                     54,                0.75978,                 5.5165,                      0,                0.55719,                  1.092,                0.96588,                      1,                0.99403,                0.80189,                0.75698,                  0.727,                0.62781,                0.11358,                0.78137,                 4.5684,                      0,                0.44252,                 1.1274,              0.0009506,              0.0009506,              0.0009506
                     55,                0.78959,                 5.5603,                      0,                0.57818,                 1.0965,                0.99845,                      1,                  0.995,                0.80916,                0.72147,                    0.7,                0.57309,                0.11208,                0.75978,                 4.7164,                      0,                0.45555,                 1.1079,              0.0009308,              0.0009308,              0.0009308
                     56,                0.76973,                 5.3897,                      0,                0.54719,                 1.0946,                0.99846,                      1,                  0.995,                0.81971,                0.72175,                    0.7,                0.59686,                0.11052,                0.71201,                 4.4646,                      0,                0.48201,                  1.064,               0.000911,               0.000911,               0.000911
                     57,                0.72545,                 5.2485,                      0,                0.52376,                 1.0695,                0.96525,                      1,                0.99403,                0.81529,                0.72318,                    0.7,                0.64903,                0.12419,                0.72085,                 4.4151,                      0,                0.46614,                 1.0665,              0.0008912,              0.0008912,              0.0008912
                     58,                0.78958,                 5.5128,                      0,                0.59569,                 1.1369,                 0.9988,                      1,                  0.995,                0.80338,                 0.7077,                0.73333,                0.65038,                0.12551,                0.71558,                 4.3468,                      0,                0.44135,                   1.07,              0.0008714,              0.0008714,              0.0008714
                     59,                0.71739,                  5.379,                      0,                0.53159,                  1.057,                0.99755,                      1,                  0.995,                 0.8035,                0.79192,                0.76131,                0.69519,                0.15583,                 0.7229,                 4.2759,                      0,                0.44572,                 1.0614,              0.0008516,              0.0008516,              0.0008516
                     60,                0.71125,                  5.637,                      0,                0.51607,                 1.0435,                0.99754,                      1,                  0.995,                0.76764,                0.49367,                0.46667,                0.40736,                0.07122,                0.81927,                 4.8754,                      0,                0.47297,                 1.1029,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.7392,                  5.605,                      0,                0.55883,                 1.0986,                0.99718,                      1,                  0.995,                 0.7397,                0.77778,                0.73333,                0.69357,                  0.137,                0.91172,                   4.38,                      0,                 0.4935,                 1.1627,               0.000812,               0.000812,               0.000812
                     62,                0.73379,                 5.6388,                      0,                0.53964,                 1.1044,                0.99714,                      1,                  0.995,                 0.7477,                0.74244,                    0.7,                0.55119,                0.12586,                0.90919,                 4.4257,                      0,                0.50586,                 1.1745,              0.0007922,              0.0007922,              0.0007922
                     63,                0.64215,                 5.2836,                      0,                 0.5221,                 1.0157,                0.96523,                      1,                0.98435,                0.74581,                0.64366,                0.63333,                0.45464,                0.10883,                0.90868,                 4.4293,                      0,                0.51307,                 1.1783,              0.0007724,              0.0007724,              0.0007724
                     64,                0.78249,                 5.1068,                      0,                0.56147,                 1.1055,                0.96501,                      1,                0.98435,                0.77421,                0.61266,                    0.6,                 0.4474,                0.06981,                0.84398,                  4.576,                      0,                0.47609,                 1.1316,              0.0007526,              0.0007526,              0.0007526
                     65,                0.69538,                 5.0388,                      0,                0.50222,                  1.019,                0.96465,                      1,                0.98532,                0.79384,                0.65194,                0.63333,                 0.4818,                0.11341,                0.79138,                 4.4481,                      0,                0.45698,                 1.1058,              0.0007328,              0.0007328,              0.0007328
                     66,                0.64246,                 4.9743,                      0,                0.47949,                 1.0123,                0.96492,                      1,                0.98758,                0.79442,                0.79587,                    0.8,                 0.7346,                0.17734,                0.75994,                  4.186,                      0,                0.44866,                 1.0899,               0.000713,               0.000713,               0.000713
                     67,                0.68544,                 5.0544,                      0,                0.52266,                 1.0402,                0.96712,                      1,                0.98855,                0.81489,                0.78855,                0.76667,                0.72474,                0.18966,                0.72312,                 4.2117,                      0,                0.43838,                 1.0746,              0.0006932,              0.0006932,              0.0006932
                     68,                0.78673,                 4.8206,                      0,                0.53469,                 1.0984,                 0.9676,                0.99558,                0.99081,                0.80098,                  0.823,                    0.8,                0.75872,                0.24084,                0.69231,                 4.0769,                      0,                0.41873,                 1.0509,              0.0006734,              0.0006734,              0.0006734
                     69,                0.68313,                 4.7938,                      0,                0.50215,                 1.0529,                0.95442,                      1,                0.99081,                0.83072,                0.82371,                    0.8,                0.80427,                0.26183,                0.65438,                 4.0081,                      0,                0.41271,                  1.032,              0.0006536,              0.0006536,              0.0006536
